Species Common Name,TaxonClass,Habitat,SkinORFur/Scales/Feathers,BirthType,NumberOfLegs
Brookesia Micra,Reptilia,Swamp,Scales,Egg,4
Eastern Glass Lizard,Reptilia,Swamp,Scales,Egg,4
Monitor,Reptilia,Swamp,Scales,Egg,4
Bermese Python,Reptilia,Swamp,Scales,Egg,0
Mojave Glossy Snake,Reptilia,Swamp,Scales,Egg,0
Striped Crawyfish Snake,Reptilia,Swamp,Scales,Egg,0
Brahminy Blind Snake,Reptilia,Swamp,Scales,Egg,0
Ground Skink,Reptilia,Swamp,Scales,Egg,4
Gulf Hammock Dwarf Sirens,Reptilia,Swamp,Scales,Egg,4
Neuse River Waterdog,Reptilia,Swamp,Scales,Egg,4
South Florida Swamp Snake,Reptilia,Swamp,Scales,Egg,0
Alligator Snapping Turtle,Reptilia,Swamp,Scales,Egg,4
Dusky Pygmy Rattlesnake,Reptilia,Swamp,Scales,Egg,0
Florida Reef Gecko,Reptilia,Swamp,Scales,Egg,4
Florida Brown Snake,Reptilia,Swamp,Scales,Egg,0
Peninsula Ribbon Snake,Reptilia,Swamp,Scales,Egg,0
Eastern Garter Snake,Reptilia,Swamp,Scales,Egg,0
Loggerhead,Reptilia,Swamp,Scales,Egg,4
Mud Turtle,Reptilia,Swamp,Scales,Egg,4
Diamondback Terrapin,Reptilia,Swamp,Scales,Egg,4
Atlantic Ridley,Reptilia,Swamp,Scales,Egg,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
